brand_name,brand_id,business_status,on_sale_series_count,pinyin
君马汽车,190,1,0,J
嘉远汽车,486,1,1,J
奇点汽车,225,1,0,J
金冠汽车,383,1,1,J
金琥新能源,553,1,1,J
Jannarelly,354,1,0,J
凯迪拉克,30,1,8,K
克莱斯勒,84,1,0,K
凯翼,142,1,6,K
开瑞,139,1,10,K
卡威,138,1,0,K
卡升,137,1,2,K
KTM,141,1,0,K
开沃汽车,148,1,6,K
焜驰 ,513,1,1,K
卡尔森,135,1,0,K
开云汽车,259,1,1,K
克蒂汽车,405,1,6,K
克慕勒,482,1,4,K
科尼赛克,83,1,1,K
Karma,253,1,0,K
凯佰赫,287,1,0,K
Kimera,438,1,0,K
Karlmann King,350,1,0,K
开利,355,1,0,K
KHANN,457,1,0,K
领克,174,1,11,L
路虎,19,1,12,L
雷克萨斯,22,1,11,L
林肯,62,1,6,L
理想汽车,202,1,3,L
零跑汽车,207,1,3,L
雷诺,46,1,0,L
劳斯莱斯,41,1,6,L
兰博基尼,42,1,3,L
岚图,395,1,4,L
雷达汽车,514,1,1,L
铃木,50,1,0,L
猎豹汽车,76,1,0,L
路特斯,85,1,3,L
陆风,102,1,0,L
理念,111,1,1,L
雷丁,282,1,0,L
蓝电,868,1,1,L
Lorinser,145,1,3,L
罗夫哈特,248,1,0,L
领途汽车,247,1,1,L
陆地方舟,146,1,1,L
龙程汽车,415,1,2,L
莱茵汽车,467,1,1,L
Lightyear,517,1,0,L
菱势汽车,877,1,1,L
凌宝汽车,384,1,3,L
LUMMA,412,1,5,L
LEVC,324,1,1,L
拉达,192,1,0,L
LeSEE,298,1,0,L
绿驰,212,1,0,L
雷诺三星,301,1,0,L
拉共达,214,1,0,L
LOCAL MOTORS,144,1,0,L
领志,309,1,0,L
Lucid,325,1,0,L
Lordstown Motors,371,1,0,L
LIMGENE凌际,508,1,2,L
LIUX,548,1,0,L
马自达,15,1,8,M
名爵,34,1,11,M
玛莎拉蒂,45,1,7,M
MINI,65,1,3,M
迈凯伦,86,1,2,M
迈迈,349,1,0,M
迈莎锐,272,1,8,M
摩根,147,1,0,M
敏安汽车,356,1,1,M
Mazzanti,296,1,0,M
Mole,261,1,0,M
摩登汽车,414,1,1,M
猛士,527,1,1,M
MELKUS,297,1,0,M
米高,328,1,0,M
MAGNA,327,1,0,M
Mahindra,351,1,0,M
Manhart,443,1,0,M
Mobilize,455,1,0,M
Moke,487,1,0,M
迈越,544,1,1,M
MILITEM,464,1,0,M
Meyers Manx,529,1,0,M
Munro,556,1,0,M
哪吒汽车,199,1,5,N
NEVS国能汽车,200,1,0,N
nanoFLOWCELL,299,1,0,N
Neuron EV,363,1,0,N
Nikola,378,1,0,N
NamX,537,1,0,N
Novitec,424,1,0,N
NEXT LEVEL,432,1,0,N
欧拉,238,1,5,O
讴歌,38,1,2,O
欧朗,110,1,0,O
欧联,357,1,0,O
OBBIN,510,1,2,O
朋克汽车,420,1,2,P
帕加尼,88,1,0,P
佩奇奥,280,1,0,P
Puritalia,329,1,0,P
Piëch,262,1,0,P
Pogea Racing,442,1,0,P
庞蒂亚克,502,1,0,P
Posaidon,448,1,0,P
Praga,557,1,0,P
奇瑞,18,1,18,Q
奇瑞新能源,461,1,4,Q
起亚,13,1,12,Q
启辰,109,1,9,Q
前途,149,1,1,Q
乔治·巴顿,236,1,0,Q
骐铃汽车,104,1,2,Q
清源汽车,265,1,0,Q
奇鲁汽车,435,1,0,Q
日产,10,1,12,R
荣威,36,1,14,R
睿蓝汽车,381,1,6,R
瑞驰,198,1,9,R
容大智造,244,1,2,R
如虎,150,1,0,R
Rezvani,292,1,0,R
Rimac,213,1,0,R
Rinspeed,279,1,0,R
RIVIAN,252,1,0,R
RENOVO,330,1,0,R
Radical,358,1,0,R
Radford,524,1,0,R
瑞腾汽车,569,1,0,R
斯柯达,23,1,8,S
三菱,26,1,4,S
上汽大通MAXUS,108,1,37,S
smart,48,1,2,S
深蓝汽车,515,1,2,S
思皓,235,1,12,S
SERES赛力斯,231,1,1,S
斯巴鲁,33,1,4,S
沙龙汽车,478,1,1,S
SWM斯威汽车,157,1,7,S
双龙,163,1,0,S
思铭,105,1,1,S
速达,390,1,0,S
陕汽通家,153,1,0,S
上喆,365,1,1,S
神州,396,1,2,S
赛麟,152,1,0,S
上汽集团,463,1,0,S
申龙客车,454,1,3,S
Scion,275,1,0,S
SONY,370,1,0,S
Sono Motors,338,1,0,S
Share2Drive,359,1,0,S
松散机车,408,1,2,S
777 Motors,550,1,0,S
盛唐,558,1,1,S
SIN CARS,360,1,0,S
SPIRRA,331,1,0,S
Spofec,434,1,0,S
STI,491,1,0,S
Spyros Panopoulos,473,1,0,S
特斯拉,63,1,4,T
坦克,425,1,4,T
天际汽车,250,1,2,T
腾势,159,1,4,T
泰卡特,158,1,0,T
塔塔,216,1,0,T
泰克鲁斯·腾风,221,1,0,T
TVR,285,1,0,T
Tramontana,305,1,0,T
TOGG,369,1,0,T
TOROIDION,361,1,0,T
Troller,375,1,0,T
Triton,389,1,0,T
TopCar,450,1,0,T
途柚汽车,471,1,0,T
Theon Design,887,1,0,T
拓锐斯特,518,1,1,T
Ultima,339,1,0,U
Uniti,348,1,0,U
Venturi,289,1,0,V
Vinfast,300,1,0,V
VLF Automotive,288,1,0,V
VANTAS,374,1,0,V
Vanda Electric,362,1,0,V
Vega Innovations,379,1,0,V
Vanwall,570,1,0,V
VIRITECH,436,1,0,V
五菱汽车,39,1,30,W
沃尔沃,24,1,13,W
蔚来,112,1,7,W
魏牌,66,1,4,W
威马汽车,185,1,3,W
五十铃,106,1,12,W
威麟,160,1,0,W
WALD,416,1,1,W
伟昊汽车,480,1,1,W
威兹曼,161,1,0,W
沃克斯豪尔,274,1,0,W
W Motors,222,1,0,W
瓦滋,377,1,0,W
未奥汽车,855,1,1,W
WayRay,481,1,0,W
万象汽车,528,1,4,W
雪佛兰,6,1,7,X
现代,11,1,13,X
小鹏汽车,195,1,5,X
雪铁龙,21,1,5,X
星途,251,1,6,X
新凯,164,1,0,X
星驰,344,1,2,X
